name,price,rating,reviews,sold,category
Samsung Galaxy S25 Ultra || 12GB RAM 512GB ROM ||  Qualcomm Snapdragon 8 Elite (3nm) Processor ||  UHD 8K Back Video Recording || 200.0 MP Camera || 6.9 Inches Display,399999.0,0.0,0,0,mobiles
American Schok Volt SV55 Mobile Phone - No Sims(WiFi Only) - 2Gb Ram - 16Gb Rom - Android 11 - Snapdragon 425 - Best Economical Smart Mobile - Phone Multi Colour (Phone Only - Box Charger Accessoires Not Included),6499.0,0.0,0,0,mobiles
American Schok Volt SV55 Mobile Phone | No Sims(WiFi Only) | Android 11 | Free Compatible Charger | Snapdragon 425 | Best Economical Smart Mobile Phone | Mobile Phones Low Price | Globally Customized,6375.0,0.0,0,0,mobiles
Vivo Y17 PTA Approved Original Mobile Phone | 8GB RAM 256GB ROM | 5000mAh Battery | Dual SIM | Fingerprint | Android Smartphone | Global Variant | Like New | Box Charger Handsfree Included | Installment Available | Best Budget Phone in Pakistan,16829.0,0.0,0,0,mobiles
Imported Oppo A57 Gifts(Charger Jelly Cover Sim Eject Tool)- Dual Sim IMEI Approved - 4/64 Memory ( For User 3/32) - 3GB RAM Mobile - Snapdragon Processor Mobile - Oppo Mobile - Oppo Phone - Mobile Phone on Installment - Budget Phone - 4G Mobile,10293.0,4.0,92,282,mobiles
Vivo Y19 | 4GB RAM | 128GB Storage | Dual Sim | PTA Approve | 5000 MAH Big Battery | Dual Speaker | FingerPrint + Face Unlock | Vivo Mobile On Installment,15905.0,3.0,1,0,mobiles
Realme 5i - 6.5 Inches HD+ Display - Dual Sim Official PTA Approved - 6GB RAM / 128GB ROM (Usable ROM 32GB) - Qualcomm Snapdragon 665 AIE Processor - (Phone with Universal Box and Charger - Mix Color),17999.0,0.0,0,0,mobiles
"Imported Original Vivo Y71 Mobile | 100% INSPECTED | 6GB RAM | 128GB ROM(STORAGE) | 3360mAh Battery | Fresh Kit | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",12999.0,5.0,1,5,mobiles
"Schok Volt SV55 | 2GB Ram 16GB Storage | Andriod Version 11 | Type-C Cable | Non PTA Approve | 3000 MAH Long Lasting Battery | Youtube, Tiktok, FaceBook Working | Amrican Phone | Orginial Stock",5842.0,3.0,1,11,mobiles
Vivo Y17 Phone | 4GB RAM 128GB Storage | 5000 MAH Battery | Dual Sim | 6 Inch Big Notch Display | FingerPrint Sensor | Fast Charging Option | PTA Approve × Memory Card Support | Box Charger & Phone | Mobile Phone On Installment,15770.0,0.0,0,0,mobiles
"Vivo Y19 (6GB RAM/128GB ROM) - 5000mAh Battery - Dual Sim Approved - Full Box with Fast Charger, Handsfree & Jelly Cover - Installments Mobile Phone - Daraz Like New - Vivo Mobile Phone - Globally Customized",20994.0,3.5,15,60,mobiles
"Imported Original Vivo Y66 Mobile | 100% INSPECTED | 4GB RAM | 64GB ROM(STORAGE) | 2930mAh Battery | Fresh Kit | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8.1 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",10499.0,4.0,5,17,mobiles
"Vivo V15 - 6.53 Inches Full HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM - Motorize Popup Front 32MP Camera - Dual Engine Fast Charging (Phone with Imported Box, Charger) - Mix Color",23999.0,4.0,7,16,mobiles
OPPO A31 orignal 4GB ram 128GB memory double sim fingerprint (without box),14999.0,3.0,1,6,mobiles
Moto Stylus 2024 5G - 6.7 Inches Full FHD+ Display - 8GB RAM 128GB ROM - Sim Lock - Snapdragon 6 Gen 1 - In-Screen Fingerprint Sensor - Mix Color (Phone Only - Box Charger Accessoires Not Included),39999.0,0.0,0,0,mobiles
Vivo Y85 4gb RAM 64gb Memory  Charger and packing box,14999.0,4.0,183,639,mobiles
Mobile - Imported Original Vivo Y81 Mobile | 100% INSPECTED | 6GB RAM | 128GB ROM(STORAGE) | 3260mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8.1 | Just Like New Condition |,13299.0,0.0,0,0,mobiles
"(Official PTA Approve) VivoY81 - 6.22"" HD Display - Dual Sim - 6GB RAM - 128GB ROM - Android Oreo - PTA Approved - Phone And Box Charger Only (, No Accessories Included)",12999.0,3.5,21,65,mobiles
"[Official PTA Approved] Vivo Y17 - 6.35 Inches HD+ Display - Dual Sim - 8GB RAM - 256GB ROM (128GB Usable + 128GB System Reserved) - 18w Dual Engine Fast Charging - Fingerprint Seneor (Phone with Box, Imported, Mix Color)",18999.0,4.0,47,178,mobiles
Itel City 200 || 4GB+4GB Ram 128GB Rom  || 6000mAh Battery,30999.0,0.0,0,0,mobiles
Vivo Y11d - IPS LCD - 6.74 Inches Display - 6GB RAM 128GB ROM - 5MP Front Camera - 50MP + 0.08MP Rear Camera - Unisoc T7225 Chipset - Dual SIM - 6500mAh Battery,53499.0,0.0,0,0,mobiles
Infinix Note Edge 5G  256GB - 8GB RAM  6500 mAH battery  6.78 inches Display  50 MP Back Camera  Powered by Android™ 16  Corning Gorilla Glass 7i,82999.0,3.5,1,0,mobiles
Itel A100C || 2GB+4GB Ram 64GB Rom || 5000mAh Battery,20999.0,0.0,0,0,mobiles
ZTE  Nubia V60 Design - IPS LCD - 8GB RAM 256GB ROM - 50MP+2MP Rear Camera - 8MP Front Camera - Unisoc T606 Chipset - Dual SIM - 5000mAh Battery,33499.0,0.0,0,0,mobiles
itel VistaTab 10 Mini - 8 Inches Display - 3GB RAM 64GB ROM - 5MP Front Camera - 5MP Rear Camera - Dual SIM - 5100mAh Battery,29899.0,0.0,0,0,mobiles
Itel City 200 - IPS LCD - 6.78 Inches Display - 4GB RAM 128GB ROM - 8MP Front Camera - 50MP Rear Camera - Unisoc T7250 Chipset - Dual SIM - 5200mAh Battery,30999.0,0.0,0,0,mobiles
Google Pixel 6 | 8GB Ram | 128GB storage | dual sim | just like new condition | without box |,55999.0,0.0,0,0,mobiles
Vivo V50 Lite 5G 12GB + 12GB Expandable RAM 256GB ROM 6.77″ AMOLED Display 120 Hz  IP65  6500 mAh Battery 90W Fast Charge,104999.0,0.0,0,0,mobiles
Google Pixel 7A | 128GB Storage | 8GB RAM | Google Tensor G2 | 64 MP Dual Camera | 4385 mAh Battery | Dual SIM | Official PTA Approved,64500.0,0.0,0,0,mobiles
Google Pixel 7A | official PTA approved | 8GB Ram | 128GB Storage | just like new condition without box,66999.0,5.0,4,14,mobiles
Xiaomi POCO C85,42749.0,5.0,5,27,mobiles
"Imported Original Vivo Y75 Mobile | 100% INSPECTED | 6GB RAM | 128GB ROM(STORAGE) | Fingerprint | 3360mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8.1 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",11499.0,5.0,3,19,mobiles
"Vivo Y71 6/128 Ram Rom(3/32 for user) - Complete Box Set with Free Charger, Handsfree, Jelly Cover & Sim Tool - Dual Sim Approved Best Budget Smartphone Deal | Limited Time Discount",11994.0,4.0,16,60,mobiles
"Nokia 1100 MOBILE PHONE | 1.77"" DISPLAY |",4650.0,4.0,13,43,mobiles
Nokia C2-03 Dual Sim PTA Approved Touch & Type Slider Phone (USED),7999.0,5.0,3,7,mobiles
(Official PTA Approve) OPPO F15 (CPH2001) 6.4 Inches AMOLED Display - 8GB RAM 256GB ROM - 48MP + 8MP + 2MP + 2MP Camera - Dual SIM (WIth Box Charger Only Accessoires Not Included - Multi Color),24999.0,4.0,5,28,mobiles
Vivo S1 6.38 Inches Super AMOLED Display - 8GB RAM 256GB ROM - 16MP + 8MP + 2MP + 32MP Camera - Official PTA Approve - Dual SIM (WIth Box Charger Only Accessoires Not Included - Multi Color),24999.0,5.0,2,19,mobiles
Samsung Galaxy A06 - 4GB RAM 64GB ROM 6.7'' HD+ Display 50MP Rear Camera 25W Fast Charging 5000mAh Battery PTA Approved 1 Year Official Brand Warranty,29980.0,4.0,21,65,mobiles
Realme 5i - 6.52 Inches IPS LCD Display - 6GB RAM - 128GB Storage - Official PTA Approved - Fingerprint Sensor - Snapdragon 665 - (Phone And Charger Only.No Box and No Accessories Included - Mix Color),19999.0,0.0,0,0,mobiles
Dcode Cygnal X || 4GB+4GB Ram 64GB Rom || 5000mAh Battery,26999.0,0.0,0,0,mobiles
Tecno Mobile spark GO3 4+128GB Grey - 308251,33499.0,0.0,0,0,mobiles
Sony Xperia 5 Mark 1 - 6GB /64GB- Official PTA Approved - Dust & Water Resistant - Official PTA Approved,37710.0,5.0,2,0,mobiles
Infinix Smart 20 4GB RAM 64GB/128GB ROM 8 MP Back Camera 8 MP Front Camera 5200 mAh Battery One Year Brand Warranty,32500.0,0.0,0,0,mobiles
Villaon V50s - IPS LCD - 6.52 Inches Display - 4GB RAM 64GB ROM - 5MP Front Camera - 8MP Rear Camera - Octa-Core Processor - Dual SIM - 4000mAh Battery,22499.0,0.0,0,0,mobiles
Vivo Y91 - 6.22 Inches IPS LCD Display - 6GB RAM - 128GB Storage - Official PTA Approved - Helio P22 Processor - (Phone and Box Charger. No Accessories Included - Mix Color),13999.0,0.0,0,0,mobiles
Itel City 200 4GB RAM 128GB ROM Front Camera 8MP Back Camera 50MP 520018 mAh Battery One Year Brand Warenty,30999.0,5.0,1,0,mobiles
"Redmi Note 12 _ 6.67"" Inch Display _ 8GB RAM _ 128GB _ Pta Approved",46100.0,0.0,0,0,mobiles
"Oppo Reno2 Z - 6.53 Inches Full HD+ AMOLED Display - 8GB RAM - 256GB ROM (128GB Usable) - 16MP Motorize Popup Camera - Dual Sim PTA Approved - Phone with Box Only, Accessories Not Included) - Multi Color",31999.0,5.0,3,18,mobiles
Poco C85 -  IPS LCD - 6.9 Inches Display - 8GB RAM 256GB ROM - 8MP Front Camera - 50MP Rear Camera - MediaTek Helio G81 Ultra Chipset - Dual SIM - 6000mAh Battery,47999.0,0.0,0,0,mobiles
Nokia X3-02 Touch & Type – PTA Approved – Wi-Fi & 3G – 5MP Camera – Ultra Slim Metal Body – Hybrid Keypad,9999.0,0.0,0,0,mobiles
Tecno Mobile spark GO3 4+128GB Purple - 308253,33499.0,0.0,0,0,mobiles
Vivo Y19 - 6.53 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P80 Processor - (Phone and Box Charger. No Accessories Included - Mix Color),20999.0,4.0,7,15,mobiles
"Imported Original Vivo Y17 Mobile | 100% INSPECTED | 8GB RAM | 256GB ROM(STORAGE) | Fingerprint | 5000mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 9 | Just Like New Condition | With Box, Fast Charger, Cable & FREE Handsfree",18999.0,4.0,37,116,mobiles
Realme 16 Pro Plus 12GB RAM 512GB ROM 200MP+50MP+8MP Back Camera 50MP Front Camera 7000 mAh Battery One Year Brand Warranty,198999.0,0.0,0,0,mobiles
Itel City 200 - 6.78 Inches Display - 4GB RAM 128GB ROM - 8MP Front Camera - 50MP Rear Camera - Dual SIM - 5200mAh Battery,30699.0,0.0,0,0,mobiles
(Official PTA Approved) OPPO F11 (CPH1911) 6.53 Inches IPS LCD - 8GB RAM / 256GB ROM  (128GB Usable + 128GB System Reserved) - 48MP + 5MP + 16MP Camera - Dual SIM (Phone wIth (Imported Box) Only and Charger Included - Multi Color),20999.0,4.0,36,133,mobiles
American Schok Volt SV55 Mobile Phone | No Sims(WiFi Only) | Android 11 | Free Compatible Charger | Snapdragon 425 | Best Economical Smart Mobile Phone | Mobile Phones Low Price | Globally Customized,6990.0,5.0,2,0,mobiles
Oppo A6 8GB / 128GB,58999.0,0.0,0,0,mobiles
Itel A100C 2GB RAM 64GB ROM Front Camera 5MP Back Camera 8MP 5000mAh Battery One Year Brand Warenty,21999.0,0.0,0,0,mobiles
Samsung A05 - 4GB Ram - 128GB Rom - 5000mAh Battery,30000.0,0.0,0,0,mobiles
Tecno Mobile spark GO3 4+128GB Blue - 308252,33499.0,0.0,0,0,mobiles
"Imported Original Vivo Y17 Mobile | 100% INSPECTED | 8GB RAM | 256GB ROM(STORAGE) | Fingerprint | 5000mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 9 | Just Like New Condition | With Box, Fast Charger, Cable & FREE Handsfree",17999.0,4.5,7,38,mobiles
Realme C71 Smartphone 6.5 Inch LCD 90Hz Ultra Smooth Display 48MP AI Quad Camera 8 GB RAM 128 GB ROM 5000mAh Battery,44999.0,4.0,4,17,mobiles
digit 4g Z1 2gb 16gb,8330.0,0.0,0,0,mobiles
