name,price,rating,reviews,sold,category,value_score,price_tier,is_overpriced,category_encoded,tier_encoded,pca_1,pca_2
Motorola Edge Plus | 256GB Storage | 12GB RAM | Snapdragon 865 | 5000 mAh Battery | 108MP Camera | Official PTA Approved | Mobile Phone,81999.0,4.0,11,13,mobiles,0.4878108269613044,Premium,0,2,2,0.3876967978385944,-0.11717263121448176
Oppo A31 (CPH2015) - 6.5 Inches Display - 8GB RAM - 256GB ROM (128GB Usable + 128GB System Reserved) - Dual SIM (Official PTA Approved) - 12MP+2MP+8MP Camera - Mix Color (Phone with Box - No Accessories Included),19999.0,3.0,3,9,mobiles,1.5000750037501875,Budget,0,2,0,-1.446284433653021,-0.19162824380981244
"Imported Original Vivo Y97 Mobile | 100% INSPECTED | 8GB RAM | 256GB ROM(STORAGE) | Fresh Kit | 3315mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8.1 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",15999.0,5.0,4,24,mobiles,3.125195324707794,Budget,0,2,0,1.1426703606940425,0.1560388675375465
Infinix Hot 60i - IPS LCD - 6.7 Inches Display - 6GB RAM 128GB ROM - 8MP Front Camera - 50MP Rear Camera - Dual SIM - 5160mAh Battery,44999.0,5.0,1,0,mobiles,1.1111358030178449,Mid-Range,0,2,1,1.4641061780335773,0.0984236515647508
"Imported Original Vivo Y17 Mobile | 100% INSPECTED | 8GB RAM | 256GB ROM(STORAGE) | Fingerprint | 5000mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 9 | Just Like New Condition | With Box, Fast Charger, Cable & FREE Handsfree",16499.0,3.5,1,11,mobiles,2.1213406873143827,Budget,0,2,0,-0.8121678724185757,-0.10072160818572166
Imported ViVo y75 with Box Charger HAndsfree - 4gb Ram Mobile - Selfie Camera with front Moonlight - Vivo Mobile - Vivo Phone - 4gb Mobile Phone - Dual Sim Working- Globally Customized,12993.0,5.0,4,14,mobiles,3.848225967828831,Budget,0,2,0,1.1488576028976432,0.15232206592161066
"[Official Approved] A57 - 5.2"" HD Display - 3GB RAM - 32GB ROM - Dual Sim - PTA Approved (Box Only - Mix Color)",10999.0,4.0,3,0,mobiles,3.636694244931357,Budget,0,2,0,-0.15817459090644062,-0.02063371866009334
Google Pixel 6 Pro Official PTA Approved 12GB Ram 128/256/512GB Rom Dual Sim,92000.0,4.4,0,0,mobiles,0.4782608695652174,Premium,1,2,2,1.0578323193300583,-0.06642429014513261
Original Vivo Y66 | 100% Inspected Fresh Stock | 4GB RAM 64GB ROM(3/32 for user) | 13MP Camera | Dual Sim Approved | With Box & Charger | Premium Quality |  Vivo Mobile Phone | Globally Customized,11994.0,4.0,190,725,mobiles,3.3350008337502084,Budget,0,2,0,-2.6188620877829756,0.4014454749069938
Motorola | Moto G 5G 2024 | 128GB Storage | 4GB RAM | Snapdragon 4 Gen 1 | 5000mAh Battery | 6.6″ IPS LCD Display | Non PTA Approved (SIM Lock) | Mobile Phone,19999.0,4.4,0,0,mobiles,2.200110005500276,Budget,0,2,0,0.4544749940531141,0.03529845659598206
"Schok Volt SV55 | 2GB Ram 16GB Storage | Andriod Version 11 | Type-C Cable | Non PTA Approve | 3000 MAH Long Lasting Battery | Youtube, Tiktok, FaceBook Working | Amrican Phone | Orginial Stock",5891.0,4.4,0,5,mobiles,7.469020539806485,Budget,0,2,0,0.32056358979693567,0.059212020518011464
"Vivo Y66 | Dual Sim | PTA Approve | 4GB Ram 64GB Storage | Long Lasting 3000 MAH Battery | Memory Card Suppirt | Vivo Box , Charger Sim Injector Tool & Phone | Vivo Mobile | Mobile Phone On Easy Installment | Whatsapp , Youtube Facebook & Tiktok Working",17395.0,4.4,0,10,mobiles,2.5294624892210407,Budget,0,2,0,0.4012768131847218,0.04694104548178434
Japanese Brand Kyocera E-6920 Rugged Mobile Phone – No Sims(WiFi Only) | 4GB RAM 64GB ROM | Ultimate Shockproof Smartphone | Best for Kids & Professionals | Free Charger + Exclusive Surprise Gift,12993.0,4.4,0,0,mobiles,3.3864388516893715,Budget,0,2,0,0.39576578972414267,0.045196507507333984
"Etachi Icon just look like
Iphone design Icon Mini Touch Mobile 2gb 16gb
3.75-inch touch screen Dual sim
Pta approve",13949.0,4.4,0,0,mobiles,3.154347981934189,Budget,0,2,0,0.4037769229440252,0.04384587423995568
OPPO A31 orignal 4GB ram 128GB memory double sim fingerprint (without box),15599.0,3.0,1,5,mobiles,1.9232002051413557,Budget,0,2,0,-1.4685280509900622,-0.1869516213882587
ZTE NUBIA V80 MAX = 8GB RAM = 256GB ROM = 6000mAh BATTERY,43999.0,4.4,0,0,mobiles,1.000022727789268,Mid-Range,0,2,1,0.6555913091966074,0.001391345281045424
"Vivo Y71 | 6GB Ram | 128GB STORAGE | Dual Sim + Memory Card | 3430 MAH Long Lasting Battery | Normal Games Support Like Subway Surfar, Candy Crush, Roblox & many More | PTA Approve | With Free Gift Box, Charger Sim Injector Tool | Vivo Y71 On Installment",13713.0,4.4,0,0,mobiles,3.2086341427842195,Budget,0,2,0,0.4017992791784475,0.04417929416788589
"Imported Original Vivo Y71 Mobile | 100% INSPECTED | 6GB RAM | 128GB ROM(STORAGE) | 3360mAh Battery | Fresh Kit | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",11499.0,4.0,106,381,mobiles,3.478563353335073,Budget,0,2,0,-1.4564101454479594,0.19731764903499202
Redmi Note 13 - 8GB RAM - 128GB & 256GB ROM - PTA Approved - With Official 1 Year Warranty,52800.0,4.0,11,95,mobiles,0.7575757575757576,Mid-Range,0,2,1,-0.1142782366105092,-0.010618319984267424
Itel City 200 4GB RAM 128GB ROM Front Camera 8MP Back Camera 50MP 520018 mAh Battery One Year Brand Warenty,28999.0,4.4,0,0,mobiles,1.517293699782751,Budget,0,2,0,0.5298936122319241,0.02258328985288081
